Name;id;x;y;Département
Mougau-Bihan;J340411001;182977;6833659;29
Langelin;J421451001;180600;6801050;29
Jet;J422401001;177475;6788609;29
Moros;J451401001;186796;6776080;29
Styval;J451542001;186625;6776584;29
Ster-Goz;J461401001;196197;6777932;29
Elle_Priziac;J471201002;217917;6790732;56
Inam;J473401001;212056;6792230;56
Elle_Arzano;J474201001;217210;6775766;56
Isole_Scaer;J480301001;202959;6786302;56
Scorff;J510221001;220941;6775624;56
Blavet_Kerien;J520211001;237725;6828461;22
Evel-Guenin;J561301001;254000;6772493;56
Coet-Organ;J570481001;237193;6774264;56
