nom,station_id,HMP_reseau_best,params_HMP_reseau,calib_HMP_reseau,valid_HMP_reseau,prev_HMP_reseau
Mougau-Bihan,J340411001,Yes,"{'sy': 0.010495, 'hk': 2.51188643150954e-05}",0.9094524630044832,0.947631485299442,0.9681091707614041
Langelin,J421451001,Yes,"{'sy': 0.01, 'hk': 1.995262314968854e-05}",0.8305818871101303,0.7979604681150461,0.6621021693091176
Jet,J422401001,Yes,"{'sy': 0.01, 'hk': 9.999999999999896e-06}",0.924146198961462,0.961059882244606,0.9256530558866168
Moros,J451401001,Yes,"{'sy': 0.01, 'hk': 8.41395141645186e-06}",0.9036316325804185,0.94006435976182,0.9092982473973067
Styval,J451542001,Yes,"{'sy': 0.01, 'hk': 1.258925411794153e-05}",0.8821430423296303,0.9539885983359644,0.8698602240975184
Ster-Goz,J461401001,Yes,"{'sy': 0.01, 'hk': 1.258925411794153e-05}",0.936274094257616,0.9524616311746916,0.9585784414053938
Elle_Priziac,J471201002,Yes,"{'sy': 0.01, 'hk': 1.539926526059473e-05}",0.9469193056550538,0.9394823034587227,0.8777636653192598
Inam,J473401001,Yes,"{'sy': 0.00307, 'hk': 9.305720409296894e-06}",0.9543799260037988,0.9666402199570898,0.9623122516189764
Elle_Arzano,J474201001,No,"{'sy': 0.01, 'hk': 7.943282347242739e-06}",0.0823901390864479,-0.0982115443206324,
Isole_Scaer,J480301001,Yes,"{'sy': 0.01, 'hk': 1.8302061063110323e-05}",0.9259751837099872,0.9618267872135152,0.9477808383288188
Scorff,J510221001,Yes,"{'sy': 0.01, 'hk': 6.309573444801884e-06}",0.9370765542075328,0.9570189096785908,0.9174296847739092
Blavet_Kerien,J520211001,Yes,"{'sy': 0.01, 'hk': 6.493816315762059e-06}",0.9376755295647148,0.946650030344042,0.9317358395541555
Evel-Guenin,J561301001,No,"{'sy': 0.000595, 'hk': 6.878599123088024e-06}",0.9073169766307412,0.8825968450687852,
Coet-Organ,J570481001,Yes,"{'sy': 0.01, 'hk': 1.258925411794153e-05}",0.9450755012467396,0.970975118128014,0.8519518429318944
63034.01787519455
