nom,station_id,RL_best,alpha_RL,Vmax_RL,calib_RL,valid_RL,prev_RL,GR4J_best,params_GR4J,calib_GR4J,valid_GR4J,prev_GR4J,HMP_best,params_HMP,calib_HMP,valid_HMP,prev_HMP
Arguenon,J110301001,No,0.0026400943679544217,292.32033629452064,0.6663320927066618,0.6354720077413276,,No,"[347.3501706606665, -3.3289681879717183, 65.9616287675346, 1.4997208174796413]",0.9193359961299972,0.9121017406565815,,No,"{'sy': None, 'hk': None}",,,
Goyen,J401401001,No,0.0040032398717360475,1015.6676770246734,0.4214526147240427,0.3951628149208941,,No,"[393.41610808647545, 0.7919831444335088, 156.1108531417663, 1.385806877162107]",0.913379352164778,0.939797425414027,,No,"{'sy': 0.0043445678710937, 'hk': 3.4693621314038854e-06}",0.911505141584296,0.96137461665706,
Flume,J721401001,No,0.0020236597905977545,308.41507279584573,0.5662689468804569,0.4527538418180733,,No,"[422.0705907378404, -1.2278297402794998, 32.69476024391411, 1.3255637179680448]",0.8866356015009375,0.8900108961292632,,No,"{'sy': None, 'hk': None}",,,
