Name;id;x;y;Département
Nancon;J001401001;389358;6816630;35
Guyoult;J032301001;353973;6835365;35
Fremur_Pleslin;J100452001;325717;6839857;22
Gouet;J151301001;269016;6832185;22
Goyen;J401401001;143849;6797335;29
