nom,station_id,RL_best,alpha_RL,Vmax_RL,calib_RL,valid_RL,prev_RL,GR4J_best,params_GR4J,calib_GR4J,valid_GR4J,prev_GR4J,HMP_best,params_HMP,calib_HMP,valid_HMP,prev_HMP,HMP_reseau_best,params_HMP_reseau,calib_HMP_reseau,valid_HMP_reseau,prev_HMP_reseau
Gouet,J151301001,No,0.0025336138746861,456.30061429937234,0.5204477945677558,0.5740143081855555,,Yes,"[658.5233632152207, -2.5619603657712107, 129.02420210737824, 1.3003003003003002]",0.9153818411419912,0.9282245607523868,0.909229745420699,Yes,"{'sy': 0.009782388305664, 'hk': 0.0002523638417799}",0.964561548943531,0.9681416849258606,0.9708423202966492,Yes,"{'sy': 0.01, 'hk': 3.651741272548361e-06}",0.9173665319473472,0.9002193542609139,0.8968137153988582
Jarlot_Plougonven,J260301001,No,0.004642356528168071,471.29103576235434,0.7049475575153471,0.6272450832524581,,Yes,"[668.2292991335252, -3.2670070696339613, 406.68746964761135, 1.3168630636705494]",0.9431686798412116,0.9375643213783741,0.9322452925476121,Yes,"{'sy': 0.0080031249999999, 'hk': 4.531583637600807e-05}",0.9434907912311288,0.9453072650677952,0.584758681682481,No,"{'sy': 0.01, 'hk': 4.186730439856228e-06}",0.8733684661960075,0.8676384019487813,
Leguer_BelleIsle,J223301001,No,0.004704204918820584,796.4305158750936,0.6039927795458722,0.4341190647130886,,Yes,"[497.70125128680706, 0.08008536064416134, 152.93301269561476, 1.3003003003003002]",0.945970009452185,0.9355353918603755,0.8763589278964613,Yes,"{'sy': 0.0079468749999999, 'hk': 4.156712619977304e-05}",0.9627276586269172,0.9814679690805092,0.9714279461433997,Yes,"{'sy': 0.01, 'hk': 5.0118723362726885e-06}",0.9250388134331542,0.9315551996417584,0.9337310474143804
Tromorgant,J260541001,No,0.003996467010784067,419.2004032378758,0.6811052757897165,0.6070925665522249,,Yes,"[713.3698431328676, -5.248265614618738, 298.86740096706, 1.183183183183182]",0.9105013189554586,0.9154412984398868,0.859974919790335,Yes,"{'sy': 0.0149497802734375, 'hk': 0.0001835048136083}",0.9465757768824072,0.946206700609929,0.9523698118863698,Yes,"{'sy': 0.01, 'hk': 8.659643233600562e-06}",0.9204112238423682,0.91836622169555,0.943366274167099
Horn,J301433001,No,0.002557503451520492,1302.0027135811251,0.43689610853827054,0.01028876880638896,,No,"[1465.5706972039845, 1.319028789428166, 249.63503718969346, 1.1441441441441427]",0.8201666408623011,0.8472446070293744,,Yes,"{'sy': 0.031843385027349, 'hk': 1.2209771680717628e-05}",0.8908563527130755,0.936256218178846,0.9695025250574751,Yes,"{'sy': 0.031285, 'hk': 1.2956866975170042e-05}",0.8907585091006289,0.936489660825176,0.9691303980247279
Guillec,J302401001,No,0.003048873170702134,1137.9929704972371,0.4829761813793627,0.16854323551560535,,No,"[897.8472916504176, 1.1752011936438012, 184.9341840706834, 1.2124624624624616]",0.8864593659723897,0.903706966512305,,Yes,"{'sy': 0.0136905273437499, 'hk': 2.303574931749516e-05}",0.963958789223584,0.9702038069792772,0.9771032924597733,Yes,"{'sy': 0.010495, 'hk': 1.3287323234140712e-05}",0.9434418127757498,0.951626937943211,0.9362017139707677
Penze,J272301001,No,0.004965299297556164,435.69770770143026,0.6547994457733267,0.6010096167823206,,Yes,"[424.11303004476457, -0.7585837018395334, 235.09742436523857, 1.5052552552552605]",0.9513181798340143,0.9460952616118015,0.9208779602365622,Yes,"{'sy': 0.0066249999999999, 'hk': 7.607640819262686e-05}",0.9616124326175828,0.9696326088512198,0.947093703487023,No,"{'sy': 0.01, 'hk': 1.2232071190499174e-05}",0.9039621551253638,0.8843485066679423,
Queffleuth,J261401002,No,0.005329769839939795,370.3548191090903,0.5410661698752044,0.5016081437275266,,Yes,"[450.33871516762053, -2.7316847492292213, 244.69193226422038, 1.2710210210210242]",0.9277414313852455,0.9258625528220258,0.9331479937729421,No,"{'sy': 0.0063999999999999, 'hk': 0.0001883649089489}",0.7350864299568378,0.8631129432848554,,No,"{'sy': 0.01, 'hk': 1.13828234525402e-05}",0.6329649265033203,0.9447029053896194,
Aber-Wrach_Drennec,J320571001,No,0.004287597224431268,834.1272762402835,0.6164944386380152,0.23268154805702446,,Yes,"[781.8108409422491, 0.6072407230520622, 272.3002298672908, 1.1478038386080556]",0.9245346408097727,0.8817536970068842,0.9356036093852927,Yes,"{'sy': 0.0201939941406249, 'hk': 6.687197357760635e-06}",0.9449648591387624,0.94521200843004,0.944321223128585,Yes,"{'sy': 0.010495, 'hk': 1.8302061063110323e-05}",0.9118558345691304,0.9114200457261616,0.9204162768856318
Elorn_Commana,J340302001,No,0.006900760346502779,829.4840879512162,0.4883440049789738,0.24594051644940862,,Yes,"[298.8674009670606, 3.302504205967912, 167.33536962110395, 1.1246246246246265]",0.8689937662011147,0.8811462239892813,0.9110593461423321,Yes,"{'sy': 0.0087906249999999, 'hk': 3.0505278902670157e-06}",0.9111395449786266,0.9182353403297048,0.9640533249442506,Yes,"{'sy': 0.010495, 'hk': 9.999999999999995e-07}",0.8772419883856211,0.9074229374058576,0.9727109331767508
Mougau-Bihan,J340411001,No,0.0063722358796769706,1026.8995971474067,0.5745108519328832,0.3935397352244133,,Yes,"[414.5157331063322, 4.086272436109554, 298.9621519527807, 1.1666516196411507]",0.9094015482058545,0.925470652945402,0.9232221676092188,Yes,"{'sy': 0.0156597167968749, 'hk': 1.563478080260513e-05}",0.9312199869517612,0.9409997891985836,0.934979534870824,Yes,"{'sy': 0.010495, 'hk': 2.51188643150954e-05}",0.9094524630044832,0.947631485299442,0.9681091707614041
Aber-Benoit,J321302002,No,0.004302265321401177,867.200253084517,0.5982834788102668,0.26522149827190933,,Yes,"[906.8708069475719, 0.5897317182236431, 198.34342540938118, 1.1441441441441427]",0.922617372442101,0.8731136279147271,0.917997533916809,Yes,"{'sy': 0.0324767862319947, 'hk': 4.26738155906618e-05}",0.95805664582657,0.9296245249452152,0.9428400432348845,Yes,"{'sy': 0.028315, 'hk': 1.7782794100389005e-05}",0.9559946132240462,0.9362431111413094,0.9424285621500532
